,news_title,news_subtitle,news_article,news_url
0,"[세상 속으로] ""러시아 고양이는 안 됩니다""","국제고양이연맹, '월드 캣 쇼'서 퇴출","전 세계가 우크라이나를 침공(侵攻)한 러시아에 각종 제재를 가하고 있다. 이에 러시아 고양이도 '국제 대회'에 출전하지 못한다는 소식이 전해졌다. 지난 3일(현지 시각), 영국 일간(日刊) 데일리메일에 따르면 70여 년 역(歷史)를 가 국제고양이연맹(FIFE)이 최근 성명을 통해 '월드 캣 쇼'에 러시아(社) 소속 고양이 참가를 금지하겠다고 밝혔다. 고양이연맹은 '예쁜 고양이 대회'를 비롯해 매년 700여 개의 고양이 관련 대회를 주최해왔다. 연맹 측은 ""오는 5월 말까지 러시아산(産) 고양이의 수입을 금지하고, 러시아에서 태어난 고양이의 혈통서 등록도 허용하지 않겠다""며 ""우크라이나를 향한 러시아의 잔혹한 행위에 대해 더 이상 침묵할 수 없었다""고 밝혔다. 이어 ""우크라이나 난민(難民)과 피란 중인 반려동물을 위한 기금도 마련할 것""이라고 덧붙였다. → 러시아 고양이의 '국제 대회 출전 금지령(令)'에 대해 어떻게 생각하나요?",http://kid.chosun.com/site/data/html_dir/2022/03/08/2022030802239.html
1,[뉴스탐험대] 홀로 1000㎞… 우크라 國境<국경> 탈출한 11세 소년,,"우크라이나 소년이 홀로 국경(國境)을 넘은 뭉클한 연이 전해졌다. 영국 매체 가디언과 메트로 등 외신은 지난 6일(현지 시각) 슬로바키아 경찰의 공식 소셜미디어(SNS)에 소개된 '11세 영웅'을 보도했다. 소년은 우크라이나 자포리자에서 출발한 후 1000㎞가량을 이동해 슬로바키아에 도착했다. 거동이 힘든 어머니와 함께 떠날 수 없었던 소년은 결국 어머니의 설득 끝에 홀로 기차에 올랐다. 그의 손에는 비닐봉지와 여권이 쥐여 있었고, 손등에는 전화번호가 적혀 있었다. 전화번호 덕분에 슬로바키아 경찰은 그의 친척과 연락할 수 있었다. 아들의 도착 소식을 접한 엄마는 SNS를 통해 ""아이의 생명을 구해줘서 정말 감하다""고 했다. → 우크라이나 소년의 '탈출기'를 글로 써봅시다.",http://kid.chosun.com/site/data/html_dir/2022/03/08/2022030802224.html
2,[뉴스탐험대] 온라인 쇼핑몰 '니켈·납투성이 장신구' 주의,,"온라인 쇼핑몰에서 '무(無)알러지' '무니켈 도금' 등으로 홍보·판매되는 액세서리에서 기준치를 넘는 납, 니켈, 카드뮴 등이 나왔다. 니켈은 접촉성 피부염과 습, 가려움 등을 일으킨다. 납은 신경계에 영향을 미쳐 국제암연구소에서 인체 발암 가능 물질로 분류하고 있다. 최근 한국소비자원이 발표한 자료에 따르면, 인터넷에서 판매되는 귀걸이·목걸이 등 30개 제품 중 11개 〈〉 에서 안전기준을 초과한 유해물질이 다량 검출됐다. 조 대상은 귀걸이 15개와 목걸이 15개였다. 이들 중 3개 제품에서 납 함량이 안전기준보다 최대 58배까지 나왔다. 또 6개 제품에서 니켈이 37배, 5개 제품에서 카드뮴이 970배까지 검출됐다. 조를 행한 소비자원 측은 ""관련 부처에 금속 장신구에 대한 안전 및 표시 항 관리·감독 강화를 요청할 예정""이라고 밝혔다. → 피부 알레르기 반응을 경험한 례를 알려주세요.",http://kid.chosun.com/site/data/html_dir/2022/03/07/2022030702119.html
3,"[뉴스탐험대] ""코로나에 강한 혈액형 있다""… O형, 위험 최저",,"혈액형이 O형(型)인 람이 코로나 바이러스 감염 시 망·위중증 위험이 다른 혈액형보다 낮다는 연구 결과가 나왔다. 영국 킹스칼리지런던대 등 공동 연구은 최근 유전체(遺傳體·한 생물의 모든 유전 정보) 5504개를 통해 단백질 3000종(種) 이상을 분석했다. 그 결과 코로나 감염 시 위중증 상태를 유발하는 단백질 6종에 혈액형을 결정하는 'ABO' 단백질이 포함된 것으로 드러났다. ABO와 코로나 위중증 간의 인과 관계를 분석한 연구은 ""O형보다 그 외 혈액형이 코로나 망·위중증 발생 가능성이 크다""고 밝혔다. 이어 ""앞서 A형의 위험이 가장 크다는 여러 연구가 있었는데, 우리도 이와 관련해 후속 연구를 행할 것""이라고 했다. 이번 연구는 지난 3일(현지 시각) 국제 학술지 '플로스 유전학(PLOS Genetics)'에 게재됐다. → 혈액형과 '코로나 위중증'의 인과 관계를 그림으로 표현해봅시다.",http://kid.chosun.com/site/data/html_dir/2022/03/07/2022030702120.html
4,잡히지 않는 火魔<화마>… 문화재 등 대규모 피해,서울 면적 4분의 1 이상 불타,"최근 발생한 동해안 지역 대규모 산불로 인해 막대한 산림(山林) 피해가 우려되고 있다. 지난 4~5일 경북 울과 강원 강릉에서 시작된 산불은 삼척·영월·동해 등지로 번지면서 4일째 이어졌다. 정부는 울·삼척을 특별재난지역으로 선포, 헬기 87대와 인력 1만여 명을 동원해 현재까지 화(鎭火)에 매하고 있다. 중앙재난안전대책본부에 따르면, 7일 오전 11시 기준 1만9553㏊(헥타르)의 산림 피해가 발생했다. 여의도 면적의 60배, 서울 면적의 4분의 1 이상이 불에 탄 셈. 지역별로는 울이 1만4701㏊로 피해가 가장 컸고, 이어 동해 2100㏊, 강릉 1900㏊, 삼척 772㏊, 영월 80㏊ 순이었다. 산림 외에 인명 피해는 없었지만, 민가(民家) 등 시설 수백 곳과 강원도 기념물 제13호 '동해 어달산 봉수대' 등 일부 문화재가 화마(火魔)에 상했다. 이재민의 경우 한때 8000여 명까지 발생했다가 지금은 상당수가 복귀한 상태다. 현재까지의 피해 규모는 관련 통계 집계 이래 둘째로 큰 것으로 추정된다. 한편 화재 원인을 조 중인 당국에 따르면, 울 산불은 담뱃불 실화(失火)로 추정된다. 강릉 산불의 경우 60대 남성의 방화(放火)로 확인됐다. → 산불을 예방하기 위해서는 어떻게 해야 할까요?",http://kid.chosun.com/site/data/html_dir/2022/03/07/2022030702123.html
5,"[뉴스탐험대] 英 8세 소녀 ""우크라 친구 도우려 다리 건너요""",,"여덟 살짜리 소녀가 러시아의 침공(侵攻)으로 피해를 입은 우크라이나 어린이들을 위해 두 팔을 걷어붙이고 나섰다. 6일(현지 시각) 영국 BBC에 따르면, 링컨셔주(州)에 는 아바 로즈 클라크(Ava-Rose Clark · )는 우크라이나 친구를 돕기 위해 '4시간 챌린지'를 시작했다. 이 '도전'은 요크셔주와 링컨셔주를 잇는, 전체 길이 20마일(약 32㎞) 규모의 험버 대교(Humber Bridge)를 자전거로 건너는 것. 도전 첫날이었던 지난 5일, 아바 로즈는 험버 대교의 6마일(약 9.7㎞)을 횡단하는 데 성공했다. 그는 ""우크라이나 어린이들이 평소 가지고 놀던 장난감과 물건을 버리고 피란하는 모습을 보며 도움을 줄 방법을 고민하던 중 챌린지를 생각해냈다""고 말했다. 유니세프(UNICEF·유엔아동기금)를 통해 1000파운드(약 162만 원)를 목표로 시작한 아바 로즈의 '모금 챌린지' 누적 금액은 7일 기준 1065파운드(약 172만 원)를 넘겼다. → 험버 대교를 건너는 아바 로즈의 모습을 상상해서 그려주세요.",http://kid.chosun.com/site/data/html_dir/2022/03/07/2022030702121.html
6,"[우리의 보금자리, 놀라운 住居 상식] 기와집·초가집·너와집… 韓屋<한옥> 뜯어보기",,"한옥(韓屋)의 '한'은 우리나라를, '옥'은 집을 뜻해요. 한옥은 우리나라 고유의 양식으로 지은 집을 일컫는 말이에요. 한옥은 보통 지붕의 재료에 따라 그 종류를 구분해요. 기와를 올리면 기와집, 볏짚이나 갈대 등을 올리면 초가집, 나무를 잘라 만든 널판을 올리면 너와집이라고 불러요. 기와집: 기와집은 지붕에 기와를 덮은 집이에요. 기와는 흙을 빚고 구워서 만들어요. 기와 지붕은 초가 지붕보다 튼튼하고 멋스러워 상류층이 주로 용했어요. 초가집: 초가집은 볏짚, 밀짚, 갈대 등으로 지붕을 이어 만든 집이에요. 볏짚, 밀짚, 갈대 등은 외부 온도를 차단하는 효과가 있어요. 더운 여름에도, 추운 겨울에도 집 안은 일정한 온도를 유지할 수 있죠. 하지만 초가 지붕은 오래가지 못하고 금방 썩어요. 특히 습도가 높은 여름철엔 초가 지붕이 눅눅해져서 굼벵이 같은 벌레가 꼬이죠. 그래서 초가 지붕은 보통 1년마다 새것으로 갈아줘야 해요. 너와집: 너와집은 통나무를 잘라 만든 널판을 지붕에 올린 집이에요. 농를 짓는 평야(平野) 지역에서는 볏짚이 많아 초가집을 지었지만 산속에 는 람들은 볏짚을 구하기 힘들었죠. 대신 나무가 많아 이렇게 나무를 이용해 지붕을 만들었어요. 한옥의 종류는 다양하지만 람들은 한옥을 말할 때 기와집부터 떠올릴 거예요. 궁궐, 찰 등 관광 명소가 주로 기와집이라 그렇죠. 기와집은 다른 집들보다 잘 보존됐어요. 집 자체가 워낙 튼튼해 오랜 시간이 지나도 그 모습 그대로 남아 있는 경우가 많지요. 역적 가치가 있는 집들 또한 대체로 기와집이다 보니 후대 람들이 보존에도 많은 힘을 썼답니다. ● 지혜로운 주생활 김미조 글ㅣ양수빈 그림ㅣ다림",http://kid.chosun.com/site/data/html_dir/2022/03/07/2022030702174.html
7,[주목! 정보 레터] 주꾸미·도다리… 봄맛으로 활력 충전!,"제철 해산물 영양 풍부, 기력 보충·면역력 증진에 도움","'가을엔 낙지, 겨울은 숭어'라는 말이 있어요. 제철에 먹어야 맛도 영양도 좋죠. 싱그러운 봄에는 어떤 해산물을 먹어야 할까요? 바로 낙지 친척 '주꾸미'와 광어 친구 '도다리'랍니다. 주꾸미는 나른한 봄철, 기력을 보충하는 데 좋아요. 특히 성장기 어린이에게 필요한 철분도 다른 연체류(軟體類·뼈가 없고 몸이 부드러운 연체동물에 속하는 부류)보다 풍부합니다. 두뇌 발달과 혈액순환에 도움을 주는 DHA 등 불포화지방산(不飽和脂肪酸)도 많지요. 주꾸미 요리법으로는 살짝 데쳐 국물과 함께 먹는 '샤부샤부', 매콤한 양념으로 감칠맛을 돋우는 볶음이 대표적이에요. 일명 '쭈삼'이라고 불리는 '주꾸미 삼겹살 볶음'도 인기 메뉴인데요. 실제 주꾸미는 돼지고기와도 궁합이 잘 맞아요. 주꾸미에 들어 있는 '타우린' 성분이 돼지고기에 함유된 콜레스테롤이 체내(體內)로 흡수되는 것을 막아준답니다. 회(膾)와 쑥국으로 즐기는 도다리도 주꾸미 못지않게 영양분이 많아요. 봄의 문턱인 3월에는 일교차가 커 식욕이 떨어지거나 몸이 무거워지는 '춘곤증(春困症)' 증상이 곧잘 나타나는데요. 도다리에는 피로 회복과 면역력 증에 도움을 주는 비타민A가 많이 들어 있답니다. → 여러분이 먹고 싶은 봄철 음식을 그려주세요.",http://kid.chosun.com/site/data/html_dir/2022/03/08/2022030802234.html
8,[메시지 뉴스] 명태·대게와 러시아,,,http://kid.chosun.com/site/data/html_dir/2022/03/07/2022030702124.html
9,[뉴스탐험대] 氷河期<빙하기> 멸종 동물? 아마존 암각화 미스터리,,"과연 이 암각화(巖刻畵 · )는 언제, 누가 그린 것일까. 콜롬비아 아마존 열대우림(熱帶雨林) 지역인 '라린도'. 이곳엔 무려 13㎞에 달하는 거대한 바위그림이 있다. 암각화를 분석한 영국 엑서터대 연구팀은 ""빙하기(氷河期) 무렵 멸종된 대형 동물을 그린 것""이라는 내용의 논문을 최근 영국왕립학회 과학 저널에 발표했다. 바위그림 중에는 빙하기에 멸종한 동물 5종이 포함돼 있다고 한다. 하지만 일부 고고학자는 ""몇 세기 전 유럽에서 건너온 동물도 그려져 있다""며 그렇게 오래된 것은 아니라는 입장을 내놓았다. 그래서일까. 엑서터대 연구팀은 논문 제목(콜롬비아 아마존의 빙하기 멸종 동물 바위그림?)에 물음표를 달았다. → 해당 암각화를 직접 그려봅시다.",http://kid.chosun.com/site/data/html_dir/2022/03/08/2022030802218.html
